Place,Movies,Latitude,Longitude
Changunarayan Temple,1,27.6896695,85.4301852
Kundapura,1,13.6250993,74.6915722
TS Albatros,1,41.3283781,69.2853413
Rosarno,1,38.4872833,15.9764948
TS Hanseatic,1,53.0942489,8.7546013
Bangkok,1,13.7538929,100.8160803
Alabama,1,33.2588817,-86.8295337
and Spa,1,50.4920838,5.8626233
John Bryan State Park,1,39.79099415,-83.8564106087494
AB,1,55.001251,-115.002136
South Melbourne 3205 Victoria Australia,1,-37.8334603,144.9570188
Santo Domingo,1,18.4801972,-69.942111
Milano,1,45.4667971,9.1904984
County Armagh,1,54.30201135,-6.612426775
Los Angeles,1,34.0536834,-118.2427669
AZ,1,40.3936294,47.7872508
Yukon High School,1,35.4883868,-97.7282987717833
Sheraton Old San Juan,1,18.464166,-66.1122748617228
Soria,1,41.7633842,-2.4642041
5-7 08038 Barcelona,1,41.3828939,2.1774322
Republic of Kalmykia,1,46.2313018,45.3275745
Montverde Academy,1,28.59613775,-81.6740369224443
Costa Risa,1,51.3056544,13.3094984
Club Woolloomooloo Utrecht,1,52.0940009,5.12249441922257
Dublin City Council,1,53.3243258,-6.26354262716914
Road Construction Site,1,38.91143355,-77.4264173794323
Downtown Boise,1,43.6188435,-116.204807514835
Ventura Blvd,1,34.1686089,-118.6091922
The Orpheum Theater,1,42.4960688,-96.4046292
The Isles,2,26.6160614,-80.2311215126388
CA 90017,1,34.0510727905428,-118.263197076735
CA 91402,1,34.2309714145796,-118.45040558283
PA 17055,1,40.1931358,-76.9762252
Hokule'a,1,21.4530592,-158.0208982
Sheffield,1,53.3806626,-1.4702278
Little Man Ice Cream 2620 16th St,1,39.7594569,-105.011083
German Headquarters,1,8.4847961,-13.2688554230463
Ilocos Sur,1,17.2,120.5
Victoria BC,1,48.4283182,-123.3649533
City of Bristol,1,51.4430523,-2.58163886128582
Afrique du Nord,1,45.938247,-0.985476751082246
IL 60609,1,41.8249226,-87.6381346
Elland,1,53.6858377,-1.8377141
HMS Belfast,1,51.50651995,-0.0811196916752953
Edinburgh,1,55.953346,-3.1883739
Democratic Republic of Congo,1,-2.9814344,23.8222636
Havana,1,23.135305,-82.3589631
Derby,1,52.9212617,-1.4761491
Russian Federation,1,64.6863136,97.7453061
USS Saratoga,1,11.5813889,165.4983334
NC 27614,1,35.9368235462908,-78.6152372519864
Al.,1,33.2588817,-86.8295337
North West Greenland,1,51.5468051,7.2411423
The Phillipines,1,10.2447856,-61.4561398
